metric,month,value
asp_inr,2020-01-01,2549.59022955789
asp_inr,2020-02-01,3462.35035662061
asp_inr,2020-03-01,3385.9621480211094
asp_inr,2020-05-01,2583.03210644143
asp_inr,2020-06-01,2246.9565256969377
asp_inr,2020-07-01,2595.2768016826412
asp_inr,2020-08-01,2792.631175813034
asp_inr,2020-09-01,2734.252700604217
asp_inr,2020-10-01,2859.075199456355
asp_inr,2020-11-01,2731.2275952841
asp_inr,2020-12-01,1945.0944916063702
asp_inr,2021-01-01,2600.6288883218854
asp_inr,2021-02-01,2495.2775594219593
asp_inr,2021-03-01,2637.9200754461394
asp_inr,2021-04-01,2458.71706506612
asp_inr,2021-05-01,2218.2411024355847
asp_inr,2021-06-01,1836.1096543110918
asp_inr,2021-07-01,2192.840914633985
asp_inr,2021-08-01,2155.4662268291504
asp_inr,2021-09-01,2515.5038186783636
asp_inr,2021-10-01,2088.1856240415887
asp_inr,2021-11-01,2122.59225786183
asp_inr,2021-12-01,2490.8647934773157
asp_inr,2022-01-01,2108.0218663073833
asp_inr,2022-02-01,2136.18124406837
asp_inr,2022-03-01,2416.241332182016
asp_inr,2022-04-01,2225.523617152974
asp_inr,2022-05-01,1958.4233139252844
asp_inr,2022-06-01,2032.777298729405
asp_inr,2022-07-01,2099.5086328003745
asp_inr,2022-08-01,2196.523966948237
asp_inr,2022-09-01,2192.4824412475077
asp_inr,2022-10-01,2128.287602529874
asp_inr,2022-11-01,2119.117051117461
asp_inr,2022-12-01,1867.7734196708784
asp_inr,2023-01-01,1867.7396145079533
asp_inr,2023-02-01,1894.1506280842225
asp_inr,2023-03-01,1866.602148050281
asp_inr,2023-04-01,1696.7895751109663
asp_inr,2023-05-01,1762.0835220506272
asp_inr,2023-06-01,1686.9104624827062
asp_inr,2023-07-01,1829.7874835806851
asp_inr,2023-08-01,1606.4306061025572
asp_inr,2023-09-01,1766.8807991080992
asp_inr,2023-10-01,1888.182867707174
asp_inr,2023-11-01,1817.5454306787717
asp_inr,2023-12-01,1467.4563236255415
asp_inr,2024-01-01,1526.5470755188992
asp_inr,2024-02-01,1455.6842775353891
asp_inr,2024-03-01,1668.605265549837
asp_inr,2024-04-01,1526.575268298561
asp_inr,2024-05-01,1532.5850967654087
asp_inr,2024-06-01,1649.0213011311455
asp_inr,2024-07-01,1690.115867937702
asp_inr,2024-08-01,1797.2526321316943
asp_inr,2024-09-01,1852.02079376464
asp_inr,2024-10-01,1807.794758274466
asp_inr,2024-11-01,1523.7758616151286
asp_inr,2024-12-01,1684.2995983257854
asp_inr,2025-01-01,1614.5265633887411
asp_inr,2025-02-01,1433.85455937089
asp_inr,2025-03-01,1660.7243580850627
asp_inr,2025-04-01,1601.4252678508687
asp_inr,2025-05-01,1633.9362683548504
asp_inr,2025-06-01,1695.0885265510858
asp_inr,2025-07-01,1773.56569619339
asp_inr,2025-08-01,1823.5492269618387
asp_inr,2025-09-01,2024.1783179749636
asp_inr,2025-10-01,1884.5762486551923
asp_inr,2025-11-01,1855.3095355124838
asp_inr,2025-12-01,2008.5983721498692
asp_inr,2026-01-01,1640.2100791602907
asp_inr,2026-02-01,1587.8715086563768
asp_inr,2026-03-01,1637.3089099302208
asp_usd,2020-01-01,35.76992662420008
asp_usd,2020-02-01,48.344586856470656
asp_usd,2020-03-01,45.32776312379393
asp_usd,2020-05-01,34.06465856626407
asp_usd,2020-06-01,29.62364618763768
asp_usd,2020-07-01,34.61072820383669
